dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label
SciFact,scifact,575,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",16686383,0.1453284,0.19905686,0.125565,1,8,-7,28.847713276567372,-5.502482891082764,0,Top reranker,Phosphorylation of centromeric histone H3 variant regulates chromosome segregation in Saccharomyces cerevisiae. The centromeric histone H3 variant (CenH3) is essential for chromosome segregation in eukaryotes. We identify posttranslational ...,7,16686383
SciFact,scifact,575,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",3400973,0.2808599,0.25265387,0.09174204,2,12,-10,25.644250134575813,-6.201585292816162,0,Caiu,"SMC complexes differentially compact mitotic chromosomes according to genomic context. Structural maintenance of chromosomes (SMC) protein complexes are key determinants of chromosome conformation. Using Hi-C and polymer modelling, we study...",10,
SciFact,scifact,575,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",27134931,0.03530142,0.15641695,0.13176408,3,17,-14,25.596808072184125,-6.408915996551514,0,Caiu,"COMPASS, a histone H3 (Lysine 4) methyltransferase required for telomeric silencing of gene expression.. The trithorax (Trx) family of proteins is required for maintaining a specific pattern of gene expression in some organisms. Recently we...",14,
SciFact,scifact,575,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",13613916,-0.509302,-0.008262701,0.034676317,4,37,-33,24.630901330958796,-7.352537631988525,0,Caiu,"Glucose repression in Saccharomyces cerevisiae. Glucose is the primary source of energy for the budding yeast Saccharomyces cerevisiae. Although yeast cells can utilize a wide range of carbon sources, presence of glucose suppresses molecula...",33,13613916
SciFact,scifact,575,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",23664875,0.10987013,0.28962073,0.12156881,5,44,-39,24.552433567977634,-7.660269260406494,0,Caiu,The Tof1p-Csm3p protein complex counteracts the Rrm3p helicase to control replication termination of Saccharomyces cerevisiae.. Termination of replication forks at the natural termini of the rDNA of Saccharomyces cerevisiae is controlled in...,39,23664875
SciFact,scifact,575,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",26182390,0.45270696,-0.07905171,-0.3407868,6,22,-16,24.43987742889862,-6.896492004394531,0,Caiu,Premature chromosome condensation: evidence for in vivo cell fusion in human malignant tumours.. Premature chromosome condensation (PCC) was studied in direct preparations of tissues from patients with haematological diseases and carcinomas...,16,
SciFact,scifact,575,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",27274441,-0.068226,0.33098555,-0.08597392,7,16,-9,24.2082922603398,-6.381837368011475,0,Caiu,Swc2 is a widely conserved H2AZ-binding module essential for ATP-dependent histone exchange. The histone variant H2AZ is incorporated preferentially at specific locations in chromatin to modulate chromosome functions. In Saccharomyces cerev...,9,
SciFact,scifact,575,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",14446279,0.11571426,0.31298023,-0.04298926,8,31,-23,24.20196709737955,-7.240012168884277,0,Caiu,"Telomere tethering at the nuclear periphery is essential for efficient DNA double strand break repair in subtelomeric region. In the yeast Saccharomyces cerevisiae that lacks lamins, the nuclear pore complex (NPC) has been proposed to serve...",23,
SciFact,scifact,575,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",8250852,0.20015348,0.17506227,0.2377284,9,24,-15,24.15624633433866,-7.0437493324279785,0,Caiu,"Replisome stall events have shaped the distribution of replication origins in the genomes of yeasts. During S phase, the entire genome must be precisely duplicated, with no sections of DNA left unreplicated. Here, we develop a simple mathem...",15,
SciFact,scifact,575,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",8747771,0.24756412,0.25915885,0.14739919,10,36,-26,23.83382049035376,-7.349575519561768,0,Caiu,"Cohesins and condensins orchestrate the 4D dynamics of yeast chromosomes during the cell cycle. Duplication and segregation of chromosomes involves dynamic reorganization of their internal structure by conserved architectural proteins, incl...",26,
