dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label
NF-Corpus,nfcorpus,PLAIN-2490,The Actual Benefit of Diet vs. Drugs,MED-1490,0.30215842,0.4286745,0.18321599,1,6,-5,24.92522027560473,-3.496236562728882,2,Relevante no qrels,Are preventive drugs preventive enough? A study of patients' expectation of benefit from preventive drugs.. OBJECTIVES: The study aimed to find the threshold of benefit for a hypothetical cholesterol-lowering drug below which the subject wo...,5,MED-1490
NF-Corpus,nfcorpus,PLAIN-2490,The Actual Benefit of Diet vs. Drugs,MED-1488,0.32395416,0.42244026,0.06482626,2,26,-24,21.551218213884752,-5.410869598388672,2,Relevante no qrels,What benefit do patients expect from adding second and third antihypertensive drugs?. Aims To discover whether patients have the same expectations of benefit from taking the first and any additional drugs for the treatment of hypertension a...,24,MED-1488
NF-Corpus,nfcorpus,PLAIN-2490,The Actual Benefit of Diet vs. Drugs,MED-1354,0.548684,0.14048813,-0.21756558,3,18,-15,16.81657551099525,-4.830813884735107,0,Caiu,"Antidepressant Drug effects and Depression Severity: A Patient-Level Meta-Analysis. Context Antidepressant medications represent the best established treatment for Major Depressive Disorder (MDD), but there is little evidence that they have...",15,
NF-Corpus,nfcorpus,PLAIN-2490,The Actual Benefit of Diet vs. Drugs,MED-3089,-0.1496796,-0.37669662,0.18745597,4,52,-48,16.34202331629202,-6.933042049407959,0,Caiu,PHOSPHORUS CONTAINING FOOD ADDITIVES AND THE ACCURACY OF NUTRIENT DATABASES: IMPLICATIONS FOR RENAL PATIENTS. Objective Phosphorus containing additives are increasingly added to food products. We sought to determine the potential impact of ...,48,MED-3089
NF-Corpus,nfcorpus,PLAIN-2490,The Actual Benefit of Diet vs. Drugs,MED-1486,0.14744131,0.4581935,0.044511966,5,45,-40,16.326319474406752,-6.350406169891357,2,Relevante no qrels,"Patient expectations on lipid-lowering drugs.. OBJECTIVE: The objective of this study was to assess expectations of effect when using statins in a treatment population. Further the aim was to examine factors, including history and concurren...",40,MED-1486
NF-Corpus,nfcorpus,PLAIN-2490,The Actual Benefit of Diet vs. Drugs,MED-1192,0.31195784,0.44190088,0.06969487,6,16,-10,15.92089692032884,-4.783085346221924,0,Caiu,Use of blood pressure lowering drugs in the prevention of cardiovascular disease: meta-analysis of 147 randomised trials in the context of expectations from prospective epidemiological studies. Objectives To determine the quantitative effic...,10,
NF-Corpus,nfcorpus,PLAIN-2490,The Actual Benefit of Diet vs. Drugs,MED-557,0.17982844,-0.13510102,-0.067688696,7,32,-25,15.380825366500122,-5.681647777557373,0,Caiu,"Dysmenorrhea.. Dysmenorrhea is the leading cause of recurrent short-term school absence in adolescent girls and a common problem in women of reproductive age. Risk factors for dysmenorrhea include nulliparity, heavy menstrual flow, smoking,...",25,
NF-Corpus,nfcorpus,PLAIN-2490,The Actual Benefit of Diet vs. Drugs,MED-3055,0.2030019,0.080263,-0.22545488,8,5,3,15.359517713168959,-3.4056501388549805,0,Top reranker,"Food and drug reward: overlapping circuits in human obesity and addiction.. Both drug addiction and obesity can be defined as disorders in which the saliency value of one type of reward (drugs and food, respectively) becomes abnormally enha...",3,MED-3055
NF-Corpus,nfcorpus,PLAIN-2490,The Actual Benefit of Diet vs. Drugs,MED-1555,-0.23106708,0.3024188,0.012334817,9,20,-11,15.26030287806724,-4.897639274597168,0,Caiu,Diet and serum cholesterol: do zero correlations negate the relationship?. The confounding that results from the uncontrolled conditions under which most epidemiologic observations are made is sufficient to undermine their validity with res...,11,
NF-Corpus,nfcorpus,PLAIN-2490,The Actual Benefit of Diet vs. Drugs,MED-3728,0.028988492,-0.23690821,0.20402242,10,49,-39,14.831463464885697,-6.746944904327393,0,Caiu,"Strawberry fields forever?. On the basis of copious preclinical data supporting the preventive efficacy of small fruits such as berries and grapes, Chen and colleagues conducted a randomized (noncomparative) phase II trial evaluating two do...",39,
