dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label
TREC-COVID,trec_covid,3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,eo4ehcjv,-0.24487802,-0.10470339,-0.21460564,1,50,-49,27.749211576025733,-3.758634328842163,2,Relevante no qrels,"Children's vaccines do not induce cross reactivity against SARS-CoV.. In contrast with adults, children infected by severe acute respiratory syndrome-corona virus (SARS-CoV) develop milder clinical symptoms. Because of this, it is speculate...",49,eo4ehcjv
TREC-COVID,trec_covid,3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,x5jfr9u0,0.17577909,-0.12525785,-0.20601995,2,26,-24,27.199098626060323,-0.1253517121076584,0,Caiu,Why is COVID-19 so mild in children?. There is an urgent need to understand why the course of the coronavirus that started in late 2019 (COVID-19) is affecting different groups of individuals with varying severity during the ongoing global ...,24,
TREC-COVID,trec_covid,3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,wfftfkam,-0.016539928,-0.11085149,-0.3483627,3,8,-5,26.232097141510025,2.4668595790863037,2,Relevante no qrels,"COVID‐19 is milder in children possibly due to cross immunity. It has been unclear why the new severe acute respiratory syndrome coronavirus (sars‐CoV‐2) hits a small minority hard, while the vast majority of children appear to be protected...",5,wfftfkam
TREC-COVID,trec_covid,3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,7dw32xby,-0.31032065,0.14580707,0.089295864,4,53,-49,24.919957052292116,-3.952230930328369,1,Relevante no qrels,"In Silico design and characterization of multi-epitopes vaccine for SARS-CoV2 from its spike proteins. COVID 19 is disease caused by novel corona virus, SARS-CoV2 originated in China most probably of Bat origin. Till date, no specific vacci...",49,7dw32xby
TREC-COVID,trec_covid,3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,yzffm05r,-0.1891907,0.05439133,-0.07169833,5,6,-1,24.731982353141962,2.804001808166504,2,Relevante no qrels,"A systematic review of antibody mediated immunity to coronaviruses: antibody kinetics, correlates of protection, and association of antibody responses with severity of disease. The duration and nature of immunity generated in response to SA...",1,yzffm05r
TREC-COVID,trec_covid,3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,z62nt4jc,-0.30009878,-0.042200893,0.028823057,6,28,-22,24.148030606967453,-0.3642558157444,2,Relevante no qrels,Dissecting antibody-mediated protection against SARS-CoV-2. Understanding the properties and mechanisms by which antibodies provide protection is essential to defining immunity. Although neutralizing antibodies have been proposed as a poten...,22,z62nt4jc
TREC-COVID,trec_covid,3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,8earvduw,-0.078146026,-0.4156354,-0.03793456,7,5,2,23.98426039801908,3.0399372577667236,1,Relevante no qrels,"Could BCG Vaccination Induce Protective Trained Immunity for SARS-CoV-2?. Trained immunity is a type of non-specific memory-like immune response induced by some pathogens and vaccines, such as BCG, which can confer antigen-independent prote...",2,8earvduw
TREC-COVID,trec_covid,3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,38mhmxvd,0.036280274,-0.07563838,-0.1471807,8,35,-27,23.92355469446038,-1.3095349073410034,2,Relevante no qrels,"New IgM seroconversion and positive RT‐PCR test after exposure to the virus in recovered COVID‐19 patient. To date, understanding whether acquired immunity and presence of anti SARS‐Cov2 antibodies protects against reinfection is one the mo...",27,38mhmxvd
TREC-COVID,trec_covid,3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,rq5nqm92,-0.058217555,0.26829034,-0.10816935,9,30,-21,23.868882957621917,-0.6197583675384521,0,Caiu,"Revisión Narrativa Sobre La Respuesta Inmunitaria Frente A Coronavirus: Descripción General, Aplicabilidad Para Sars-Cov2 E Implicaciones Terapéuticas. Abstract The new coronavirus (SARS-CoV2) that causes a severe acute respiratory syndrome...",21,
TREC-COVID,trec_covid,3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,1waejlwb,0.025283001,-0.31798995,0.116100185,10,47,-37,23.527894333260452,-2.725579261779785,0,Caiu,"Does the Bacillus Calmette–Guérin vaccine provide protection from COVID-19?. OBJECTIVE: The novel coronavirus pandemic is ravaging throughout the world. It has infected more than 1.2 million people and killed more than 64,000. Frantic resea...",37,
