dataset,query_id,candidate_recall@100
TREC-COVID,1,0.03296703296703297
TREC-COVID,2,0.10509554140127389
TREC-COVID,3,0.06050955414012739
TREC-COVID,4,0.022684310018903593
TREC-COVID,5,0.08306188925081433
TREC-COVID,6,0.04483837330552659
TREC-COVID,7,0.14345114345114346
TREC-COVID,8,0.06962025316455696
TREC-COVID,9,0.11518324607329843
TREC-COVID,10,0.14526315789473684
TREC-COVID,11,0.01927710843373494
TREC-COVID,12,0.04383116883116883
TREC-COVID,13,0.06343713956170703
TREC-COVID,14,0.15294117647058825
TREC-COVID,15,0.014184397163120567
TREC-COVID,16,0.09560723514211886
TREC-COVID,17,0.07634730538922156
TREC-COVID,18,0.10031847133757962
TREC-COVID,19,0.17117117117117117
TREC-COVID,20,0.10256410256410256
TREC-COVID,21,0.03650793650793651
TREC-COVID,22,0.1227106227106227
TREC-COVID,23,0.09973045822102426
TREC-COVID,24,0.1707920792079208
TREC-COVID,25,0.045368620037807186
TREC-COVID,26,0.05269922879177378
TREC-COVID,27,0.04004711425206125
TREC-COVID,28,0.11433756805807622
TREC-COVID,29,0.10099337748344371
TREC-COVID,30,0.22162162162162163
TREC-COVID,31,0.0679886685552408
TREC-COVID,32,0.027777777777777776
TREC-COVID,33,0.09608540925266904
TREC-COVID,34,0.06976744186046512
TREC-COVID,35,0.045871559633027525
TREC-COVID,36,0.12274959083469722
TREC-COVID,37,0.08888888888888889
TREC-COVID,38,0.04265402843601896
TREC-COVID,39,0.11395348837209303
TREC-COVID,40,0.16007194244604317
TREC-COVID,41,0.10289389067524116
TREC-COVID,42,0.2880658436213992
TREC-COVID,43,0.18972332015810275
TREC-COVID,44,0.10766045548654245
TREC-COVID,45,0.08312655086848635
TREC-COVID,46,0.08791208791208792
TREC-COVID,47,0.05476190476190476
TREC-COVID,48,0.07657657657657657
TREC-COVID,49,0.06072874493927125
TREC-COVID,50,0.12408759124087591
